id,sample_accession,study_accession
ERR019552,SAMEA838046,NA
ERR019553,SAMEA838006,NA
ERR019556,SAMEA837919,NA
ERR019557,SAMEA837916,NA
ERR019558,SAMEA837913,NA
ERR019559,SAMEA837910,NA
ERR019562,SAMEA838053,NA
ERR019564,SAMEA837928,NA
ERR019565,SAMEA838013,NA
ERR019569,SAMEA837950,NA
ERR019570,SAMEA838011,NA
ERR019571,SAMEA838045,NA
ERR019572,SAMEA838004,NA
ERR019573,SAMEA837898,NA
ERR019574,SAMEA837894,NA
ERR019575,SAMEA837931,NA
ERR019860,SAMEA837963,NA
ERR025833,SAMEA961610,PRJEB2221
ERR025834,SAMEA961608,PRJEB2221
ERR025835,SAMEA961609,PRJEB2221
ERR025836,SAMEA961584,PRJEB2221
ERR025837,SAMEA961583,PRJEB2221
ERR025838,SAMEA961582,PRJEB2221
ERR025839,SAMEA961581,PRJEB2221
ERR025842,SAMEA961587,PRJEB2221
ERR025843,SAMEA961586,PRJEB2221
ERR025844,SAMEA961585,PRJEB2221
ERR025846,SAMEA961579,PRJEB2221
ERR025847,SAMEA961640,PRJEB2221
ERR025848,SAMEA961641,PRJEB2221
ERR027445,SAMEA838020,NA
ERR027446,SAMEA837938,NA
ERR027447,SAMEA838018,NA
ERR027448,SAMEA837955,NA
ERR027449,SAMEA837952,NA
ERR027450,SAMEA837944,NA
ERR027451,SAMEA837942,NA
ERR027452,SAMEA837948,NA
ERR027454,SAMEA837936,NA
ERR027455,SAMEA837934,NA
ERR027456,SAMEA837940,NA
ERR027458,SAMEA837987,NA
ERR027462,SAMEA837996,NA
ERR036186,SAMEA897802,NA
ERR036187,SAMEA897777,NA
ERR036188,SAMEA897778,NA
ERR036189,SAMEA897779,NA
ERR036190,SAMEA897805,NA
ERR036192,SAMEA897801,NA
ERR036193,SAMEA897800,NA
ERR036195,SAMEA897774,NA
ERR036196,SAMEA897775,NA
ERR036197,SAMEA897776,NA
ERR036199,SAMEA897780,NA
ERR036201,SAMEA897758,NA
ERR036202,SAMEA897769,NA
ERR036203,SAMEA897771,NA
ERR036204,SAMEA897772,NA
ERR036205,SAMEA897765,NA
ERR036206,SAMEA897826,NA
ERR036208,SAMEA897762,NA
ERR036209,SAMEA897761,NA
ERR036210,SAMEA897760,NA
ERR036212,SAMEA897768,NA
ERR036213,SAMEA897902,NA
ERR036214,SAMEA897864,NA
ERR036216,SAMEA897847,NA
ERR036217,SAMEA897848,NA
ERR036218,SAMEA897845,NA
ERR036219,SAMEA897846,NA
ERR036220,SAMEA897898,NA
ERR036221,SAMEA897811,NA
ERR036222,SAMEA897849,NA
ERR036223,SAMEA897850,NA
ERR036226,SAMEA897860,NA
ERR036227,SAMEA897861,NA
ERR036228,SAMEA897862,NA
ERR036230,SAMEA897875,NA
ERR036231,SAMEA897878,NA
ERR036232,SAMEA897877,NA
ERR036234,SAMEA897832,NA
ERR036235,SAMEA897906,NA
ERR036236,SAMEA897905,NA
ERR036238,SAMEA897889,NA
ERR036239,SAMEA897829,NA
ERR036240,SAMEA897837,NA
ERR036241,SAMEA897844,NA
ERR036243,SAMEA897857,NA
ERR036244,SAMEA897858,NA
ERR036245,SAMEA897859,NA
ERR036246,SAMEA897853,NA
ERR036247,SAMEA897854,NA
ERR036248,SAMEA897831,NA
ERR036249,SAMEA897839,NA
ERR037467,SAMEA897833,NA
ERR037468,SAMEA897903,NA
ERR037470,SAMEA897892,NA
ERR037471,SAMEA897888,NA
ERR037472,SAMEA897887,NA
ERR037473,SAMEA897886,NA
ERR037474,SAMEA897885,NA
ERR037475,SAMEA897884,NA
ERR037476,SAMEA897883,NA
ERR037477,SAMEA897882,NA
ERR037478,SAMEA897881,NA
ERR037479,SAMEA897893,NA
ERR037480,SAMEA897838,NA
ERR037481,SAMEA897828,NA
ERR037482,SAMEA897894,NA
ERR037483,SAMEA897895,NA
ERR037484,SAMEA897896,NA
ERR037485,SAMEA897897,NA
ERR037486,SAMEA897793,NA
ERR037487,SAMEA897899,NA
ERR037488,SAMEA897900,NA
ERR037489,SAMEA897901,NA
ERR037490,SAMEA897840,NA
ERR037491,SAMEA897795,NA
ERR037492,SAMEA897791,NA
ERR037493,SAMEA897830,NA
ERR037494,SAMEA897842,NA
ERR037495,SAMEA897841,NA
ERR037496,SAMEA897834,NA
